,ctr,country,pdi,idv,mas,uai,ltowvs,ivr
0,AFE,Africa East,64.0,27.0,41.0,52.0,32.0,40.0
1,AFW,Africa West,77.0,20.0,46.0,54.0,9.0,78.0
2,ALB,Albania,,,,,61.460957178841305,14.50892857142857
3,ALG,Algeria,,,,,25.944584382871536,32.36607142857142
4,AND,Andorra,,,,,,65.0
5,ARA,Arab countries,80.0,38.0,53.0,68.0,23.0,34.0
6,ARG,Argentina,49.0,46.0,56.0,86.0,20.403022670025187,61.83035714285714
7,ARM,Armenia,,,,,60.95717884130982,
8,AUS,Australia,38.0,90.0,61.0,51.0,21.158690176322416,71.42857142857142
9,AUT,Austria,11.0,55.0,79.0,70.0,60.45340050377833,62.72321428571428
10,AZE,Azerbaijan,,,,,60.705289672544076,21.65178571428571
11,BGD,Bangladesh,80.0,20.0,55.0,60.0,47.10327455919395,19.642857142857142
12,BLR,Belarus,,,,,80.8564231738035,14.9553571428571
13,BEL,Belgium,65.0,75.0,54.0,94.0,81.8639798488665,56.6964285714286
14,BEF,Belgium French,67.0,72.0,60.0,93.0,,
15,BEN,Belgium Netherl,61.0,78.0,43.0,97.0,,
16,BOS,Bosnia,,,,,69.77329974811083,44.19642857142857
17,BRA,Brazil,69.0,38.0,49.0,76.0,43.82871536523929,59.15178571428571
18,BGR,Bulgaria,70.0,30.0,40.0,85.0,69.0176322418136,15.848214285714285
19,BUF,Burkina Faso,,,,,27.455919395466,18.0803571428571
20,CAN,Canada,39.0,80.0,52.0,48.0,36.02015113350126,68.30357142857142
21,CAF,Canada French,54.0,73.0,45.0,60.0,,
22,CHL,Chile,63.0,23.0,28.0,86.0,30.982367758186395,68.0
23,CHN,China,80.0,20.0,66.0,30.0,87.4055415617128,23.6607142857143
24,COL,Colombia,67.0,13.0,64.0,80.0,13.09823677581864,83.03571428571428
25,COS,Costa Rica,35.0,15.0,21.0,86.0,,
26,HRV,Croatia,73.0,33.0,40.0,80.0,58.43828715365239,33.25892857142857
27,CYP,Cyprus,,,,,,69.86607142857142
28,CZE,Czech Republic,57.0,58.0,57.0,74.0,70.02518891687657,29.46428571428571
29,DNK,Denmark,18.0,74.0,16.0,23.0,34.76070528967254,69.64285714285714
30,DOM,Dominican Republic,,,,,13.09823677581864,54.24107142857142
31,ECA,Ecuador,78.0,8.0,63.0,67.0,,
32,EGY,Egypt,,,,,6.801007556675063,4.241071428571428
33,ETH,Ethiopia,,,,,,46.0
34,SLV,El Salvador,66.0,19.0,40.0,94.0,19.647355163728,88.8392857142857
35,EST,Estonia,40.0,60.0,30.0,60.0,82.11586901763224,16.294642857142854
36,FIN,Finland,33.0,63.0,26.0,59.0,38.287153652392945,57.36607142857142
37,FRA,France,68.0,71.0,43.0,86.0,63.47607052896725,47.76785714285714
38,GEO,Georgia,,,,,38.287153652392945,31.919642857142854
39,DEU,Germany,35.0,67.0,66.0,65.0,82.87153652392946,40.40178571428571
40,GEE,Germany East,,,,,77.8337531486146,34.1517857142857
41,GHA,Ghana,,,,,3.526448362720403,72.32142857142857
42,GBR,Great Britain,35.0,89.0,66.0,35.0,51.1335012594458,69.4196428571428
43,GRC,Greece,60.0,35.0,57.0,112.0,45.34005037783375,49.55357142857142
44,GUA,Guatemala,95.0,6.0,37.0,101.0,,
45,HKG,Hong Kong,68.0,25.0,57.0,29.0,60.95717884130982,16.96428571428571
46,HUN,Hungary,46.0,80.0,88.0,82.0,58.186397984886646,31.47321428571428
47,ICE,Iceland,,,,,27.95969773299748,66.74107142857142
48,IND,India,77.0,48.0,56.0,40.0,50.8816120906801,26.1160714285714
49,IDN,Indonesia,78.0,14.0,46.0,48.0,61.96473551637279,37.723214285714285
50,IRN,Iran,58.0,41.0,43.0,59.0,13.602015113350125,40.40178571428571
51,IRQ,Iraq,,,,,24.9370277078086,16.7410714285714
52,IRL,Ireland,28.0,70.0,68.0,35.0,24.43324937027708,64.95535714285714
53,ISR,Israel,13.0,54.0,47.0,81.0,37.531486146095716,
54,ITA,Italy,50.0,76.0,70.0,75.0,61.460957178841305,29.687499999999996
55,JAM,Jamaica,45.0,39.0,68.0,13.0,,
56,JPN,Japan,54.0,46.0,95.0,92.0,87.9093198992443,41.7410714285714
57,JOR,Jordan,,,,,16.120906801007557,43.08035714285714
58,KOR,South Korea,60.0,18.0,39.0,85.0,100.0,29.46428571428571
59,KYR,Kyrgyz Republic,,,,,65.99496221662469,39.285714285714285
60,LVA,Latvia,44.0,70.0,9.0,63.0,68.76574307304786,12.94642857142857
61,LTU,Lithuania,42.0,60.0,19.0,65.0,81.86397984886649,15.624999999999998
62,LUX,Luxembourg,40.0,60.0,50.0,70.0,63.979848866498735,56.02678571428571
63,MAC,Macedonia Republic,,,,,61.71284634760705,35.26785714285714
64,MYS,Malaysia,104.0,26.0,50.0,36.0,40.806045340050375,57.14285714285714
65,MLI,Mali,,,,,20.151133501259444,42.63392857142857
66,MLT,Malta,56.0,59.0,47.0,96.0,47.10327455919395,65.625
67,MEX,Mexico,81.0,30.0,69.0,82.0,24.1813602015113,97.3214285714286
68,MOL,Moldova,,,,,71.0327455919395,19.1964285714286
69,MNG,Montenegro,,,,,75.31486146095718,19.866071428571427
70,MAR,Morocco,70.0,46.0,53.0,68.0,14.105793450881611,25.44642857142857
71,NLD,Netherlands,38.0,80.0,14.0,53.0,67.00251889168766,68.30357142857142
72,NZL,New Zealand,22.0,79.0,58.0,49.0,32.7455919395466,74.5535714285714
73,NIG,Nigeria,,,,,12.846347607052897,83.92857142857142
74,NOR,Norway,31.0,69.0,8.0,50.0,34.5088161209068,55.13392857142857
75,PAK,Pakistan,55.0,14.0,50.0,70.0,49.87405541561713,0.0
76,PAN,Panama,95.0,11.0,44.0,86.0,,
77,PER,Peru,64.0,16.0,42.0,87.0,25.188916876574307,46.20535714285714
78,PHL,Philippines,94.0,32.0,64.0,44.0,27.455919395465994,41.96428571428571
79,POL,Poland,68.0,60.0,64.0,93.0,37.78337531486146,29.241071428571427
80,PRT,Portugal,63.0,27.0,31.0,104.0,28.211586901763223,33.25892857142857
81,PUE,Puerto Rico,,,,,0.0,89.95535714285714
82,ROU,Romania,90.0,30.0,42.0,90.0,51.88916876574307,19.866071428571427
83,RUS,Russia,93.0,39.0,36.0,95.0,81.360201511335,19.866071428571427
84,RWA,Rwanda,,,,,18.387909319899244,37.27678571428571
85,SAU,Saudi Arabia,,,,,35.51637279596977,52.232142857142854
86,SRB,Serbia,86.0,25.0,43.0,92.0,52.141057934508815,28.124999999999996
87,SGP,Singapore,74.0,20.0,48.0,8.0,71.53652392947103,45.535714285714285
88,SVK,Slovak Republic,104.0,52.0,110.0,51.0,76.57430730478589,28.348214285714285
89,SVN,Slovenia,71.0,27.0,19.0,88.0,48.614609571788414,47.544642857142854
90,SAF,South Africa,,,,,34.0,63.0
91,SAW,South Africa white,49.0,65.0,63.0,49.0,,
92,ESP,Spain,57.0,51.0,42.0,86.0,47.60705289672544,43.52678571428571
93,SUR,Suriname,85.0,47.0,37.0,92.0,,
94,SWE,Sweden,31.0,71.0,5.0,29.0,52.896725440806044,77.67857142857142
95,CHE,Switzerland,34.0,68.0,70.0,58.0,73.551637279597,66.0714285714286
96,SWF,Switzerland French,70.0,64.0,58.0,70.0,,
97,SWG,Switzerland German,26.0,69.0,72.0,56.0,,
98,TWN,Taiwan,58.0,17.0,45.0,69.0,92.94710327455918,49.107142857142854
99,TAN,Tanzania,,,,,34.005037783375315,38.39285714285714
100,THA,Thailand,64.0,20.0,34.0,64.0,31.738035264483624,45.08928571428571
101,TTO,Trinidad and Tobago,47.0,16.0,58.0,55.0,12.594458438287154,80.13392857142857
102,TUR,Turkey,66.0,37.0,45.0,85.0,45.59193954659949,49.107142857142854
103,USA,United States,40.0,91.0,62.0,46.0,25.6926952141058,68.0803571428571
104,UGA,Uganda,,,,,23.67758186397985,52.45535714285714
105,UKR,Ukraine,,,,,86.39798488664987,14.285714285714285
106,URY,Uruguay,61.0,36.0,38.0,100.0,26.19647355163728,53.34821428571428
107,VEN,Venezuela,81.0,12.0,73.0,76.0,15.61712846347607,99.99999999999999
108,VNM,Vietnam,70.0,20.0,40.0,30.0,57.178841309823675,35.49107142857142
109,ZAM,Zambia,,,,,30.226700251889167,42.18749999999999
110,ZIM,Zimbabwe,,,,,15.365239294710326,27.678571428571427
