Country,PIB
Aruba,2691620111.73184
Afghanistan,19907111418.9938
Angola,116193649124.475
Albania,11386931489.7968
Andorra,2811489408.89431
Arab World,2560753811359.54
United Arab Emirates,358135057862.492
Argentina,594749285413.212
Armenia,10553337672.9872
American Samoa,661000000
Antigua and Barbuda,1359194737.40741
Australia,1349034029453.37
Austria,382065930307.978
Azerbaijan,53074370486.0433
Burundi,3104394858.11518
Belgium,455039563132.776
Benin,8291155880.59505
Burkina Faso,10419303761.3524
Bangladesh,195078678697.23
Bulgaria,50201314894.5817
Bahrain,31125851063.8298
"Bahamas, The",11792300000
Bosnia and Herzegovina,16209702863.6235
Belarus,56454734396.5842
Belize,1762500450
Bermuda,
Bolivia,33000198263.3864
Brazil,1802214373741.32
Barbados,4584150000
Brunei Darussalam,12930394937.8137
Bhutan,2059809919.89325
Botswana,14406496463.6055
Central African Republic,1583776805.96568
Canada,1559623393038.66
Central Europe and the Baltics,1285887062843.63
Switzerland,679289166858.236
Channel Islands,
Chile,243999477737.94
China,11064666282625.5
Cote d'Ivoire,39633467835.725
Cameroon,30916218544.4404
"Congo, Dem. Rep.",37917704900.0794
"Congo, Rep.",8553154580.39951
Colombia,293481748240.779
Comoros,988150249.533688
Cabo Verde,1596800287.16405
Costa Rica,54775994478.4981
Caribbean small states,70862033353.6265
Cuba,87133000000
Curacao,
Cayman Islands,
Cyprus,19680625485.1946
Czech Republic,186829940545.759
Germany,3375611100742.22
Djibouti,1633741922.68737
Dominica,540830666.666667
Denmark,301298464861.385
Dominican Republic,68802092020.9448
Algeria,165979277276.907
East Asia & Pacific (excluding high income),13271287745643.1
Early-demographic dividend,10262511922399
East Asia & Pacific,21795245264442.9
Europe & Central Asia (excluding high income),3074851737103.9
Europe & Central Asia,20373896284736.6
Ecuador,99290381000
"Egypt, Arab Rep.",332698041030.807
Euro area,11667268254660.3
Eritrea,
Spain,1197789902774.43
Estonia,22566956982.229
Ethiopia,64464547915.2698
European Union,16416319932320
Fragile and conflict affected situations,781966692278.924
Finland,232464833065.554
Fiji,4362128146.45309
France,2438207896251.84
Faroe Islands,2476746087.18917
"Micronesia, Fed. Sts.",315179700
Gabon,14377324797.637
United Kingdom,2885570309160.86
Georgia,13993546747.7492
Ghana,49181854798.2552
Gibraltar,
Guinea,8794202409.5678
"Gambia, The",1394149615.02468
Guinea-Bissau,1047808175.00057
Equatorial Guinea,13180195435.1132
Greece,195541761243.144
Grenada,997007925.925926
Greenland,2520206899.62693
Guatemala,63767597193.9175
Guam,5710000000
Guyana,3197222215.01211
High income,48319656623607.1
"Hong Kong SAR, China",309383627028.561
Honduras,20979767785.2104
Heavily indebted poor countries (HIPC),665409603321.643
Croatia,49490142433.1046
Haiti,8724656126.49849
Hungary,122879042001.915
IBRD only,25914342622835.2
IDA & IBRD total,27992065449229.7
IDA total,2089451144888.92
IDA blend,1003001432752.72
Indonesia,860854235065.079
IDA only,1079076488884.1
Isle of Man,6792417112.29947
India,2102390808996.69
Not classified,
Ireland,290617008367.572
"Iran, Islamic Rep.",385874474398.59
Iraq,177498577312.923
Iceland,16942247373.9704
Israel,299093839689.55
Italy,1832868490534.11
Jamaica,14145469269.457
Jordan,37517410281.6901
Japan,4394977752877.82
Kazakhstan,184388432148.715
Kenya,64007751187.8874
Kyrgyz Republic,6678178340.45121
Cambodia,18049954289.4229
Kiribati,171117872.436331
St. Kitts and Nevis,936314411.47037
"Korea, Rep.",1382764027113.82
Kuwait,114567298105.683
Latin America & Caribbean (excluding high income),4387475711763.74
Lao PDR,14390391264.2607
Lebanon,49910270062.1559
Liberia,3177000000
Libya,27842131486.4054
St. Lucia,1622436703.7037
Latin America & Caribbean,5516998478056.28
Least developed countries: UN classification,959826978203.386
Low income,556848371132.139
Liechtenstein,6268391521.19701
Sri Lanka,80604080688.7961
Lower middle income,5834879339132.92
Low & middle income,26611543367675.5
Lesotho,2510312804.76737
Late-demographic dividend,18464370139344.7
Lithuania,41508609232.7778
Luxembourg,57784495265.4378
Latvia,26972863393.6384
"Macao SAR, China",45361678146.5247
St. Martin (French part),
Morocco,101179808076.36
Monaco,6258178995.23123
Moldova,6512885830.43282
Madagascar,9744243531.20119
Maldives,4109424801.40835
Middle East & North Africa,3147153525197.42
Mexico,1170564619927.69
Marshall Islands,179697900
Middle income,26060682945110.6
"Macedonia, FYR",10064515432.0265
Mali,13099495529.7113
Malta,10554669617.5194
Myanmar,59687410896.5734
Middle East & North Africa (excluding high income),1444184538528.5
Montenegro,4052913385.82677
Mongolia,11749620619.5962
Northern Mariana Islands,931000000
Mozambique,14798413628.4625
Mauritania,4844223106.95469
Mauritius,11692287066.381
Malawi,6373212640.84604
Malaysia,296636282166.176
North America,19686255793552.8
Namibia,11650656642.2655
New Caledonia,
Niger,7217667780.59665
Nigeria,494583180777.234
Nicaragua,12611087031.4931
Netherlands,757999453314.269
Norway,386663139402.707
Nepal,21410840908.5198
Nauru,100459782.608696
New Zealand,177620948761.31
OECD members,46749583061470
Oman,68905071521.4564
Other small states,370581353575.521
Pakistan,270556126820.064
Panama,54091713775.5634
Peru,189926516769.25
Philippines,292774099013.687
Palau,293124000
Papua New Guinea,20638636035.255
Poland,476970902628.578
Pre-demographic dividend,1344611323866.14
Puerto Rico,103375500000
"Korea, Dem. People’s Rep.",
Portugal,199420256049.689
Paraguay,36164068797.2511
West Bank and Gaza,12673000000
Pacific island small states,8589369460.34644
Post-demographic dividend,44280417963556.6
French Polynesia,
Qatar,161739835164.835
Romania,177893451831.141
Russian Federation,1368400705490.7
Rwanda,8277613193.57631
South Asia,2696116882251.6
Saudi Arabia,654269902880
Sudan,97156119150
Senegal,17767620058.8554
Singapore,304097759674.134
Solomon Islands,1154650068.85921
Sierra Leone,4218723875.1379
El Salvador,23166030400
San Marino,1523012088.2777
Somalia,6659000748.05936
Serbia,37160332465.1645
Sub-Saharan Africa (excluding high income),1663688786788.45
South Sudan,10906867789.8878
Sub-Saharan Africa,1665066294226.42
Small states,450032756389.494
Sao Tome and Principe,315521531.954768
Suriname,4767414747.88691
Slovak Republic,87501423882.4686
Slovenia,43072415017.4321
Sweden,497918109302.399
Eswatini,4020275298.02726
Sint Maarten (Dutch part),
Seychelles,1377492465.56086
Syrian Arab Republic,
Turks and Caicos Islands,
Chad,10945989471.6286
East Asia & Pacific (IDA & IBRD countries),13245781212588.4
Europe & Central Asia (IDA & IBRD countries),3601312782165.58
Togo,4179185205.16122
Thailand,401399422442.967
Tajikistan,7854602391.65355
Turkmenistan,35799714285.7143
Latin America & the Caribbean (IDA & IBRD countries),5289638340934.71
Timor-Leste,3104400000
Middle East & North Africa (IDA & IBRD countries),1431375209349.5
Tonga,435438217.281663
South Asia (IDA & IBRD),2696116882251.6
Sub-Saharan Africa (IDA & IBRD countries),1665066294226.42
Trinidad and Tobago,24401734194.6814
Tunisia,43152528548.124
Turkey,859796691176.471
Tuvalu,35556038.8176495
Tanzania,45628320355.1735
Uganda,27102650386.6012
Ukraine,91030959454.6961
Upper middle income,20219305350733.9
Uruguay,53274304222.136
United States,18120714000000
Uzbekistan,66903804142.5395
St. Vincent and the Grenadines,755458031.415067
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),3759000000
Vietnam,193241108709.536
Vanuatu,737917151.424178
World,74916086734465.4
Samoa,804100582.465624
Kosovo,6440612176.999
"Yemen, Rep.",45593573381.2648
South Africa,317536830640.619
Zambia,21154394545.895
Zimbabwe,19963120600
