Country,Country Code,PIB
Aruba,ABW,2691620111.73184
Afghanistan,AFG,19907111418.9938
Angola,AGO,116193649124.475
Albania,ALB,11386931489.7968
Andorra,AND,2811489408.89431
United Arab Emirates,ARE,358135057862.492
Argentina,ARG,594749285413.212
Armenia,ARM,10553337672.9872
American Samoa,ASM,661000000
Antigua and Barbuda,ATG,1359194737.40741
Australia,AUS,1349034029453.37
Austria,AUT,382065930307.978
Azerbaijan,AZE,53074370486.0433
Burundi,BDI,3104394858.11518
Belgium,BEL,455039563132.776
Benin,BEN,8291155880.59505
Burkina Faso,BFA,10419303761.3524
Bangladesh,BGD,195078678697.23
Bulgaria,BGR,50201314894.5817
Bahrain,BHR,31125851063.8298
"Bahamas, The",BHS,11792300000
Bosnia and Herzegovina,BIH,16209702863.6235
Belarus,BLR,56454734396.5842
Belize,BLZ,1762500450
Bermuda,BMU,
Bolivia,BOL,33000198263.3864
Brazil,BRA,1802214373741.32
Barbados,BRB,4584150000
Brunei Darussalam,BRN,12930394937.8137
Bhutan,BTN,2059809919.89325
Botswana,BWA,14406496463.6055
Central African Republic,CAF,1583776805.96568
Canada,CAN,1559623393038.66
Switzerland,CHE,679289166858.236
Channel Islands,CHI,
Chile,CHL,243999477737.94
China,CHN,11064666282625.5
Cote d'Ivoire,CIV,39633467835.725
Cameroon,CMR,30916218544.4404
"Congo, Dem. Rep.",COD,37917704900.0794
"Congo, Rep.",COG,8553154580.39951
Colombia,COL,293481748240.779
Comoros,COM,988150249.533688
Cabo Verde,CPV,1596800287.16405
Costa Rica,CRI,54775994478.4981
Cuba,CUB,87133000000
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,19680625485.1946
Czech Republic,CZE,186829940545.759
Germany,DEU,3375611100742.22
Djibouti,DJI,1633741922.68737
Dominica,DMA,540830666.666667
Denmark,DNK,301298464861.385
Dominican Republic,DOM,68802092020.9448
Algeria,DZA,165979277276.907
Ecuador,ECU,99290381000
"Egypt, Arab Rep.",EGY,332698041030.807
Eritrea,ERI,
Spain,ESP,1197789902774.43
Estonia,EST,22566956982.229
Ethiopia,ETH,64464547915.2698
Finland,FIN,232464833065.554
Fiji,FJI,4362128146.45309
France,FRA,2438207896251.84
Faroe Islands,FRO,2476746087.18917
"Micronesia, Fed. Sts.",FSM,315179700
Gabon,GAB,14377324797.637
United Kingdom,GBR,2885570309160.86
Georgia,GEO,13993546747.7492
Ghana,GHA,49181854798.2552
Gibraltar,GIB,
Guinea,GIN,8794202409.5678
"Gambia, The",GMB,1394149615.02468
Guinea-Bissau,GNB,1047808175.00057
Equatorial Guinea,GNQ,13180195435.1132
Greece,GRC,195541761243.144
Grenada,GRD,997007925.925926
Greenland,GRL,2520206899.62693
Guatemala,GTM,63767597193.9175
Guam,GUM,5710000000
Guyana,GUY,3197222215.01211
"Hong Kong SAR, China",HKG,309383627028.561
Honduras,HND,20979767785.2104
Croatia,HRV,49490142433.1046
Haiti,HTI,8724656126.49849
Hungary,HUN,122879042001.915
Indonesia,IDN,860854235065.079
Isle of Man,IMN,6792417112.29947
India,IND,2102390808996.69
Ireland,IRL,290617008367.572
"Iran, Islamic Rep.",IRN,385874474398.59
Iraq,IRQ,177498577312.923
Iceland,ISL,16942247373.9704
Israel,ISR,299093839689.55
Italy,ITA,1832868490534.11
Jamaica,JAM,14145469269.457
Jordan,JOR,37517410281.6901
